,Team,Pct.,Assists per Game,CTO per Game,Clears per Game,DCs per Game,Fouls per Game,FPS per Game,GBs per Game,Shots per Game,TO per Game,Yellow Cards per Game
20,Colorado,0.579,5.58,7.47,15.26,13.63,23.84,5.58,14.11,31.0,12.53,1.47
90,Sacred Heart,0.579,3.95,8.95,15.05,12.05,19.32,6.11,17.32,29.37,13.84,2.53
68,Michigan,0.6,5.1,7.9,15.8,12.55,18.05,5.9,15.2,26.3,14.3,2.5
49,Jacksonville,0.6,4.95,8.8,16.95,15.55,3.5,5.2,19.5,34.2,14.4,2.45
102,Towson,0.611,4.44,9.0,17.39,13.61,21.83,6.17,16.83,31.0,14.17,2.0
81,Penn St.,0.611,4.0,10.06,17.67,13.17,16.28,7.44,17.28,31.22,13.44,2.17
16,Cincinnati,0.611,5.28,8.22,13.39,13.44,24.33,5.39,15.61,29.5,16.11,3.5
112,Virginia,0.611,6.94,6.06,14.28,16.61,23.0,5.61,12.56,32.0,11.22,1.39
91,Saint Francis (PA),0.625,6.19,8.19,14.69,15.25,8.56,7.13,18.5,28.94,15.5,1.31
73,Niagara,0.632,5.11,9.53,16.16,12.26,17.42,5.63,18.16,30.74,11.47,1.58
12,Campbell,0.632,7.0,14.11,15.16,15.37,20.11,5.89,20.63,30.79,17.05,2.79
94,Siena,0.632,4.95,0,15.37,11.53,20.32,3.74,10.79,25.74,11.89,2.32
105,UConn,0.632,6.05,8.58,17.79,14.58,17.11,5.84,16.16,32.37,14.68,1.79
18,Coastal Carolina,0.632,7.95,6.63,15.32,14.58,15.37,5.58,15.42,33.95,12.95,2.16
58,Liberty,0.632,5.79,12.47,14.74,15.58,19.26,6.63,19.58,32.68,17.89,2.32
4,Binghamton,0.647,5.35,7.71,16.41,14.29,16.82,7.24,18.06,30.47,12.18,0.94
111,Villanova,0.647,6.35,8.82,15.65,14.12,21.12,4.94,16.0,27.94,17.94,2.24
119,Yale,0.647,5.59,10.47,15.71,15.06,18.53,6.94,17.47,30.82,13.12,1.24
103,UAlbany,0.65,4.9,7.0,14.15,16.9,29.5,5.0,14.05,28.55,15.15,2.8
57,Lehigh,0.667,6.33,7.89,15.22,13.5,16.06,4.67,14.67,29.33,13.39,2.33
17,Clemson,0.667,7.67,8.33,15.67,15.44,22.5,4.72,14.0,30.61,13.17,2.06
24,Davidson,0.667,7.28,8.39,17.5,14.72,15.78,4.94,14.94,29.17,16.22,2.33
29,Drexel,0.667,3.94,7.78,16.56,12.11,19.28,5.44,16.44,27.11,14.28,1.61
65,Maryland,0.682,5.91,7.09,16.09,16.05,17.91,6.95,13.82,30.45,12.82,1.64
71,Navy,0.684,6.58,9.53,16.68,15.26,18.84,4.74,17.74,31.53,14.16,3.05
76,Notre Dame,0.714,6.33,8.76,14.14,17.48,27.24,5.1,15.81,33.71,11.95,1.81
80,Penn,0.737,5.47,8.58,16.37,14.84,15.42,5.84,17.74,32.63,12.68,1.42
36,Fairfield,0.737,7.0,11.47,17.58,14.16,20.21,4.11,19.89,31.74,17.05,2.11
